"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"133","C2cd2l","hurdle",1.93642457176495e-135,-2.686954,-1.081257,1.605697,0.621
"780","Ugdh","hurdle",5.54187515713785e-78,-1.5830554,-0.4269212,1.1561342,0.62
"84","Anks4b","hurdle",9.64948274711283e-94,-2.188942,-0.900031,1.288911,0.62
"189","Crat","hurdle",4.68727386790852e-108,-2.3430739,-0.9450522,1.3980217,0.619
"135","C77080","hurdle",8.99420197830833e-59,-1.1636412,-0.2709572,0.892684,0.619
"316","Gk","hurdle",1.03956717683818e-153,-2.88605,-1.157291,1.728759,0.618
"286","Fam3b","hurdle",6.12857188797381e-145,-2.791413,-1.214165,1.577248,0.618
"358","Hdhd3","hurdle",1.1203108831244e-64,-0.85511341,0.07716005,0.93227346,0.617
"99","Apol7a","hurdle",4.90150992665892e-130,-2.661778,-1.036975,1.624803,0.617
"679","Slc52a2","hurdle",8.24050785720436e-77,-1.7323083,-0.6209115,1.1113968,0.616
"589","Retsat","hurdle",7.44759088537455e-80,-1.4250805,-0.3029879,1.1220926,0.616
"348","Gstm6","hurdle",3.55554924826886e-79,-1.4635085,-0.3484235,1.115085,0.616
"117","AU040320","hurdle",6.83812185151651e-66,-1.4243974,-0.4404297,0.9839677,0.616
"674","Slc46a1","hurdle",2.56652997813973e-144,-2.830697,-1.073343,1.757354,0.615
"454","Mkrn2os","hurdle",3.1734427667456e-59,-1.022567,-0.127487,0.89508,0.615
"175","Clec2e","hurdle",9.13346969545e-155,-2.905937,-1.234612,1.671325,0.615
"132","Btnl2","hurdle",3.64289677111996e-113,-2.522227,-1.039542,1.482685,0.615
"668","Slc39a5","hurdle",6.71655282841043e-48,-0.3568564,0.3573934,0.7142498,0.613
"484","Myo7b","hurdle",2.96526105208171e-47,-0.5417254,0.1756367,0.7173621,0.613
"277","Fam109a","hurdle",4.21854692975093e-70,-1.5800094,-0.5423424,1.037667,0.612
"251","Ehbp1l1","hurdle",3.94639984451623e-136,-2.856265,-1.258341,1.597924,0.612
"153","Cds1","hurdle",2.55975830684552e-46,-0.6771562,0.0544663,0.7316225,0.612
"636","Slc16a5","hurdle",6.50923509041988e-122,-2.732731,-1.202609,1.530122,0.611
"583","Reep3","hurdle",2.31588527819277e-65,-1.0749383,-0.1453509,0.9295874,0.611
"478","Mylk","hurdle",4.32712873506099e-74,-1.9833037,-0.8206049,1.1626988,0.611
"386","Ilvbl","hurdle",9.34877696975073e-61,-1.4815137,-0.5387057,0.942808,0.611
"751","Tmem253","hurdle",1.16202943419041e-105,-2.545806,-1.086557,1.459249,0.61
"610","Sdcbp2","hurdle",9.49167666782401e-63,-1.5588651,-0.3986289,1.1602362,0.61
"293","Fbxo25","hurdle",1.08430744080706e-80,-2.1802669,-0.9717741,1.2084928,0.61
"173","Clcn2","hurdle",1.52788160082587e-82,-2.0682536,-0.8228145,1.2454391,0.61
"788","Vamp5","hurdle",7.79603992279841e-143,-2.941656,-1.325683,1.615973,0.609
"781","Ugt2a3","hurdle",1.89386730289916e-98,-2.4172444,-0.9378495,1.4793949,0.609
"770","Tspan13","hurdle",3.02308679355624e-38,-0.1538419,0.4398881,0.59373,0.609
"664","Slc36a1","hurdle",4.15910860572935e-114,-2.677156,-1.194003,1.483153,0.609
"638","Slc22a18","hurdle",3.7589846537164e-76,-1.941656,-0.7643101,1.1773459,0.609
"505","Oit1","hurdle",8.11876518486164e-51,-0.2604414,0.4600225,0.7204639,0.609
"115","Atp6v0a2","hurdle",6.32786487797026e-58,-1.4274739,-0.4834779,0.943996,0.609
"687","Slc7a15","hurdle",9.77460882924977e-192,-3.164211,-1.288562,1.875649,0.608
"407","Lasp1","hurdle",1.96749429022422e-43,-0.3228826,0.3188243,0.6417069,0.608
"226","Ddc","hurdle",1.16985382537574e-59,-1.2132193,-0.2815553,0.931664,0.608
"22","Abcd1","hurdle",1.11446095386508e-111,-2.608046,-1.132412,1.475634,0.608
"750","Tmem252","hurdle",1.34481539856969e-72,-1.9969499,-0.7986923,1.1982576,0.607
"658","Slc35b1","hurdle",3.49222577882704e-40,-0.5288194,0.1510777,0.6798971,0.607
"491","Ndfip1","hurdle",7.05290849199666e-70,-1.8535034,-0.7537316,1.0997718,0.607
"764","Trim31","hurdle",9.71712173362931e-55,-1.5849625,-0.6579107,0.9270518,0.606
"313","Gdpd2","hurdle",1.19584443392137e-191,-3.184887,-1.386485,1.798402,0.606
"287","Fam3c","hurdle",2.06423649169952e-61,-1.5667579,-0.5867138,0.9800441,0.606
"166","Chp2","hurdle",1.17502085989466e-104,-2.615823,-1.219977,1.395846,0.606
"608","Scin","hurdle",1.08890730762032e-125,-2.700122,-1.20549,1.494632,0.605
"520","Pck1","hurdle",6.07581111439836e-173,-3.11709,-1.243465,1.873625,0.605
"183","Cobl","hurdle",4.70028662887799e-73,-2.1093835,-0.9547121,1.1546714,0.605
"54","Adamtsl5","hurdle",1.3515418717385e-126,-2.876676,-1.32882,1.547856,0.605
"37","Acad11","hurdle",9.53558554049566e-86,-2.345658,-1.044691,1.300967,0.605
"775","Tubal3","hurdle",4.59447687482289e-89,-2.450933,-1.116061,1.334872,0.604
"604","Sar1b","hurdle",3.50528820448227e-56,0.4530797,1.0781078,0.6250281,0.604
"36","Acaa1b","hurdle",1.5104990561128e-162,-3.081116,-1.338273,1.742843,0.604
"425","Ltc4s","hurdle",3.61986548250969e-97,-1.5910821,-0.9742281,0.616854,0.603
"370","Hsd17b4","hurdle",2.12678436940961e-53,-0.519124,0.2127878,0.7319118,0.603
"11","2210016F16Rik","hurdle",2.18675798226884e-40,-0.3315014,0.2945666,0.626068,0.603
"367","Hpgd","hurdle",5.67191974122098e-54,-1.1825753,-0.2891733,0.893402,0.602
"137","Car4","hurdle",8.06890513099934e-59,-1.18662371,-0.09908925,1.08753446,0.602
"375","Ifi35","hurdle",1.18696088154901e-36,-0.1997141,0.3796652,0.5793793,0.601
"32","Abhd6","hurdle",3.04600843688685e-85,-2.354089,-1.047272,1.306817,0.601
"4","1810055G02Rik","hurdle",1.75122686311998e-99,-2.664195,-1.261335,1.40286,0.601
"804","Zbtb7b","hurdle",3.72414506474926e-49,-1.5417254,-0.6777719,0.8639535,0.6
"606","Scamp5","hurdle",1.68529000226406e-57,-1.779135,-0.8008686,0.9782664,0.6
"373","Idh1","hurdle",7.27212030034167e-63,-1.6739051,-0.5680596,1.1058455,0.6
"145","Cdc42ep2","hurdle",2.41531592431037e-120,-2.888874,-1.363785,1.525089,0.6
"101","Aqp11","hurdle",4.51822429068804e-53,-1.0233422,-0.1775084,0.8458338,0.6
"717","Stom","hurdle",9.27465375759698e-114,-2.847997,-1.32882,1.519177,0.598
"691","Slc9a2","hurdle",5.03796935443298e-75,-2.352789,-1.140657,1.212132,0.598
"657","Slc34a2","hurdle",1.24713067774399e-157,-3.007654,-1.176943,1.830711,0.598
"643","Slc25a15","hurdle",1.16738507304561e-38,-0.71320228,-0.04262934,0.67057294,0.598
"305","Galm","hurdle",3.54586319943748e-45,-0.9504799,-0.1960066,0.7544733,0.598
"119","B4galt5","hurdle",2.00523242987514e-64,-2.0811157,-0.9668786,1.1142371,0.598
"67","Akr1c19","hurdle",8.50803516245567e-64,-1.9116693,-0.6618611,1.2498082,0.598
"803","Zbp1","hurdle",8.12727869435442e-63,-1.9959346,-0.8406148,1.1553198,0.597
"782","Ugt2b34","hurdle",4.09685331019323e-43,-1.1630713,-0.3806134,0.7824579,0.597
"530","Pex16","hurdle",2.55227779404328e-43,-0.9482688,-0.2118463,0.7364225,0.597
"420","Lrp1","hurdle",1.67533404463912e-49,-1.7493164,-0.8631785,0.8861379,0.597
"255","Emc9","hurdle",8.23517815872845e-60,-1.8636535,-0.7771076,1.0865459,0.597
"41","Aco1","hurdle",5.6930474696918e-55,-1.298582,-0.4252415,0.8733405,0.597
"414","Lipe","hurdle",1.91070780022413e-90,-2.64497,-1.322553,1.322417,0.596
"741","Tmed4","hurdle",1.92478328791016e-46,-0.4121567,0.2352651,0.6474218,0.595
"745","Tmem139","hurdle",3.32090307472302e-93,-2.698469,-1.313203,1.385266,0.594
"261","Entpd5","hurdle",7.74883273475092e-58,-2.050226,-1.001501,1.048725,0.594
"793","Vmp1","hurdle",7.497178056224e-45,-0.2074788,0.4444889,0.6519677,0.593
"774","Ttyh2","hurdle",9.44379122431157e-73,-2.4309,-1.237557,1.193343,0.593
"718","Sulf2","hurdle",8.24289353494847e-113,-2.947533,-1.51636,1.431173,0.593
"300","Fuca2","hurdle",4.46281292871846e-49,-1.6030132,-0.7183339,0.8846793,0.593
"448","Mgat4a","hurdle",4.60313901099359e-31,-0.63644076,-0.09240948,0.54403128,0.592
"349","Gstt1","hurdle",1.93965891292951e-43,-1.015348,-0.2425773,0.7727707,0.592
"221","D5Ertd579e","hurdle",4.1853677347794e-48,-1.7673934,-0.8791858,0.8882076,0.592
"588","Reg3g","hurdle",1.14948011537564e-29,2.541395,3.372706,0.831311,0.591
"523","Pcyt1a","hurdle",1.88083045631572e-71,-2.427474,-1.237557,1.189917,0.591
"697","Smpdl3b","hurdle",1.85019082297349e-48,-1.8198768,-0.9023658,0.917511,0.59
"197","Cx3cl1","hurdle",1.25068375948072e-78,-2.628355,-1.38322,1.245135,0.59
"154","Ceacam18","hurdle",7.03139484369637e-109,-2.916464,-1.331964,1.5845,0.59
"663","Slc35f5","hurdle",5.54497487811891e-49,-1.8069097,-0.8861008,0.9208089,0.589
"647","Slc26a3","hurdle",4.6345874928363e-59,-2.236113,-1.126941,1.109172,0.589
"642","Slc25a10","hurdle",3.61150957436089e-28,-0.6918777,-0.1550623,0.5368154,0.589
"546","Plekhb2","hurdle",1.13963741166677e-29,-0.7874554,-0.214745,0.5727104,0.589
"769","Trpm4","hurdle",3.19423315972144e-46,-1.557741,-0.714226,0.843515,0.588
"728","Tbx3","hurdle",7.58580723450788e-60,-1.9431229,-0.8428554,1.1002675,0.588
"554","Pnp","hurdle",9.68693173722666e-37,-0.3045403,0.2709305,0.5754708,0.588
"427","Mafb","hurdle",3.00685048325294e-144,-3.155116,-1.597266,1.55785,0.588
"122","BC025446","hurdle",1.20596703856038e-66,-2.468429,-1.338273,1.130156,0.588
