"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"528","Pigr","hurdle",5.06390000840103e-83,3.276291,3.914738,0.638447,0.723
"522","Pfkp","hurdle",7.368047927758e-159,-1.6048867,0.1844246,1.7893113,0.723
"163","Chchd10","hurdle",7.35108561582153e-82,2.781501,3.390711,0.60921,0.723
"298","Gapdh","hurdle",4.29029857325267e-95,2.183355,2.943398,0.760043,0.721
"69","Aldh1a1","hurdle",3.34431043165177e-189,-1.5966755,0.3999701,1.9966456,0.719
"44","Acp5","hurdle",2.66200349299793e-125,-0.4754497,0.7874108,1.2628605,0.719
"559","Prdx5","hurdle",3.14879180720342e-94,1.017575,1.82861,0.811035,0.718
"455","Myh14","hurdle",2.52836313298155e-128,-0.4151359,0.8748097,1.2899456,0.718
"322","Gpd1","hurdle",4.99977884963526e-124,-0.7322562,0.6874098,1.419666,0.718
"202","Cst6","hurdle",1.63781732490223e-149,-1.1015939,0.3121522,1.4137461,0.718
"454","Mvp","hurdle",9.69267049760842e-128,-0.7645039,0.5949207,1.3594246,0.717
"374","Il18","hurdle",2.34651649363968e-182,-1.9461831,0.2473357,2.1935188,0.717
"199","Creb3l3","hurdle",3.45633058805354e-155,-1.1436595,0.3508646,1.4945241,0.716
"45","Acsl5","hurdle",2.14259983773084e-94,0.3147633,1.314414,0.9996507,0.715
"94","Apol10a","hurdle",8.13583783614507e-187,-1.90182349,0.03881925,1.94064274,0.714
"509","Papss2","hurdle",2.4858500660691e-184,-1.6976368,0.6134092,2.311046,0.713
"311","Gm3336","hurdle",4.74022824330456e-181,-2.02963865,0.07128126,2.10091991,0.712
"579","Reg3g","hurdle",7.22615473063353e-100,2.489508,3.977458,1.48795,0.711
"553","Ppp1r14d","hurdle",5.35011135869731e-97,0.859857,1.709348,0.849491,0.711
"231","Dhrs1","hurdle",2.67479761730969e-110,-0.3325498,0.8991254,1.2316752,0.711
"332","Gsta4","hurdle",6.06484815184106e-175,-1.7600373,0.3106423,2.0706796,0.71
"696","Sult2b1","hurdle",2.17329425139854e-122,-1.1050309,0.3999701,1.505001,0.709
"18","Aamdc","hurdle",2.84517027492572e-102,0.09412425,1.09427995,1.0001557,0.709
"740","Tstd1","hurdle",1.8878577823366e-101,0.7522709,1.7258686,0.9735977,0.708
"647","Slc39a5","hurdle",1.71749100890886e-105,-0.3756448,0.7522481,1.1278929,0.707
"598","Scp2","hurdle",5.57003647700336e-87,1.27146,2.042008,0.770548,0.707
"482","Ndufv3","hurdle",1.0647998624004e-84,1.605546,2.284729,0.679183,0.707
"434","Misp","hurdle",3.99253256392391e-103,0.173301,1.181949,1.008648,0.707
"195","Cox7b","hurdle",8.77296524133566e-66,2.957454,3.482915,0.525461,0.705
"149","Cdkn1a","hurdle",3.77024606649705e-132,-1.1322856,0.2250666,1.3573522,0.705
"722","Tmem37","hurdle",5.35762070604148e-116,-1.1911973,0.2567754,1.4479727,0.703
"481","Ndufc1","hurdle",3.49556641654189e-79,1.816691,2.460453,0.643762,0.703
"450","Mtch2","hurdle",2.09846445965176e-82,1.668101,2.394992,0.726891,0.703
"114","Bad","hurdle",1.6088007407477e-104,-0.2778174,0.7928283,1.0706457,0.703
"640","Slc35b1","hurdle",5.39408276765226e-108,-0.5676423,0.6769004,1.2445427,0.702
"575","Reep6","hurdle",2.31592974484609e-104,-0.7594956,0.4800636,1.2395592,0.702
"480","Ndufb7","hurdle",1.10656941217154e-74,1.967155,2.56135,0.594195,0.701
"458","Myo15b","hurdle",1.07920147097602e-105,-0.8620043,0.4169099,1.2789142,0.701
"401","Lpcat3","hurdle",8.79348331497539e-100,-0.5057054,0.6340803,1.1397857,0.701
"106","Atp5o","hurdle",3.23516477118854e-66,2.999221,3.529902,0.530681,0.701
"659","Slc5a1","hurdle",9.80251348767373e-86,0.0778937,1.0969102,1.0190165,0.7
"265","Exoc3l4","hurdle",6.3884729455727e-126,-1.4767505,0.2057012,1.6824517,0.698
