"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"908","Spa17","hurdle",3.86177134250747e-70,-2.7424676,-0.5629362,2.1795314,0.651
"764","Rab25","hurdle",4.30013199698471e-17,1.315039,1.911651,0.596612,0.651
"833","Sec14l1","hurdle",9.5776101087509e-32,-1.6119251,-0.2453865,1.3665386,0.65
"1","1110008P14Rik","hurdle",2.1761299931289e-26,-1.25047448,-0.01611967,1.23435481,0.65
"973","Tmbim1","hurdle",2.0864702639867e-22,-0.3950928,0.5449545,0.9400473,0.649
"539","Ldha","hurdle",5.19929213844942e-14,2.907894,3.595916,0.688022,0.649
"206","Chmp2a","hurdle",2.98120105764476e-16,0.6067629,1.223449,0.6166861,0.649
"891","Smim6","hurdle",1.80240583266224e-17,-0.480188,0.4533656,0.9335536,0.648
"822","Samd14","hurdle",2.60422711824314e-94,-3.2552419,-0.9231661,2.3320758,0.648
"711","Plk2","hurdle",1.33514721269916e-87,-3.1807919,-0.4660747,2.7147172,0.648
"404","Gng13","hurdle",3.05544452984367e-99,-3.240709,-0.092945,3.147764,0.648
"342","Fam98c","hurdle",6.6509599449824e-19,-0.4354209,0.3794598,0.8148807,0.648
"931","St6galnac6","hurdle",1.27177088696809e-107,-3.297426,-0.590522,2.706904,0.647
"911","Spink1","hurdle",9.04994506623749e-23,0.5931763,2.3125262,1.7193499,0.647
"741","Prr13","hurdle",4.03136693453182e-19,1.060437,1.772409,0.711972,0.647
"543","Lgals3bp","hurdle",3.41237097689297e-24,0.4646,1.342496,0.877896,0.647
"1087","Zdhhc9","hurdle",1.74153160815128e-31,-1.5328439,-0.1951133,1.3377306,0.646
"823","Samd9l","hurdle",1.05992135403595e-44,-2.2693556,-0.5998358,1.6695198,0.646
"731","Ppp3ca","hurdle",3.66129305198508e-26,-1.147043131,0.008605791,1.155648922,0.646
"474","Ifi27","hurdle",4.26399193500097e-18,0.168931,1.004309,0.835378,0.646
"333","Fam234a","hurdle",1.96892468560894e-20,-1.04421026,0.05088117,1.09509143,0.646
"205","Chil1","hurdle",3.82114750709413e-94,-3.2653898,-0.9707057,2.2946841,0.646
"162","Camk2b","hurdle",1.35618741754166e-61,-3.03864,-1.007417,2.031223,0.646
